token,start,L11_gains,L11_forced_slots,tableau_conflict,tableau_conflicts,alignment_hits,L17_conflict,L17_unknown_after
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
MERIDIAN,75,34,8,False,,8,False,65
MERIDIAN,76,34,8,False,,8,False,65
MERIDIAN,77,34,8,False,,0,False,65
MERIDIAN,78,34,8,False,,0,False,65
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
MERIDIAN,75,34,8,False,,8,False,65
MERIDIAN,76,34,8,False,,8,False,65
MERIDIAN,77,34,8,False,,0,False,65
MERIDIAN,78,34,8,False,,0,False,65
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
MERIDIAN,75,34,8,False,,8,False,65
MERIDIAN,76,34,8,False,,8,False,65
MERIDIAN,77,34,8,False,,0,False,65
MERIDIAN,78,34,8,False,,0,False,65
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
MERIDIAN,75,34,8,False,,8,False,65
MERIDIAN,76,34,8,False,,8,False,65
MERIDIAN,77,34,8,False,,0,False,65
MERIDIAN,78,34,8,False,,0,False,65
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
MERIDIAN,75,34,8,False,,8,False,65
MERIDIAN,76,34,8,False,,8,False,65
MERIDIAN,77,34,8,False,,0,False,65
MERIDIAN,78,34,8,False,,0,False,65
MERIDIAN,8,34,8,False,,0,False,65
MERIDIAN,9,34,8,False,,0,False,65
MERIDIAN,10,34,8,False,,0,False,65
MERIDIAN,12,34,8,False,,0,False,65
MERIDIAN,74,34,8,False,,8,False,65
