global_index,section,section_index,tick_name,x,y,z,arc_length
0,K1,0,TICK_000,-64.9875,-52.0000,78.4369,0.0000
1,K1,1,TICK_001,-63.0754,-51.7520,75.6760,3.3676
2,K1,2,TICK_002,-61.1633,-51.5041,72.9150,6.7352
3,K1,3,TICK_003,-64.1195,-51.3694,74.2934,9.9997
4,K1,4,TICK_004,-67.1571,-51.2366,75.7411,13.3672
5,K1,5,TICK_005,-70.1947,-51.1039,77.1888,16.7348
6,K1,6,TICK_006,-71.8415,-50.9805,78.2441,18.6946
7,K1,7,TICK_007,-68.4937,-50.8909,77.8905,22.0621
8,K1,8,TICK_008,-65.1459,-50.8012,77.5369,25.4297
9,K1,9,TICK_009,-61.7982,-50.7116,77.1833,28.7973
10,K1,10,TICK_010,-58.4504,-50.6220,76.8298,32.1649
11,K1,11,TICK_011,-55.1027,-50.5324,76.4762,35.5324
12,K1,12,TICK_012,-56.0202,-50.3956,76.6384,36.4742
13,K1,13,TICK_013,-59.3530,-50.2321,77.0928,39.8418
14,K1,14,TICK_014,-62.6857,-50.0685,77.5471,43.2094
15,K1,15,TICK_015,-62.5905,-49.7937,76.4901,44.3057
16,K1,16,TICK_016,-60.0084,-49.4407,75.0710,47.2731
17,K1,17,TICK_017,-57.3657,-49.0983,77.1299,50.6406
18,K1,18,TICK_018,-54.2395,-48.6089,77.7978,53.8746
19,K1,19,TICK_019,-52.1577,-48.1136,75.5580,56.9723
20,K1,20,TICK_020,-51.1777,-47.8253,77.3990,59.0778
21,K1,21,TICK_021,-50.4429,-47.5968,80.6775,62.4453
22,K1,22,TICK_022,-49.5566,-47.2879,80.2223,63.4884
23,K1,23,TICK_023,-48.5354,-46.9051,77.0367,66.8555
24,K1,24,TICK_024,-47.4287,-46.4651,74.3401,69.8034
25,K1,25,TICK_025,-46.3484,-45.9861,77.4915,73.1691
26,K1,26,TICK_026,-45.7841,-45.6352,80.7929,76.5367
27,K1,27,TICK_027,-45.2814,-45.3666,80.0193,77.4976
28,K1,28,TICK_028,-44.8174,-45.1495,76.6909,80.8652
29,K1,29,TICK_029,-44.2192,-44.8667,73.3969,84.2250
30,K1,30,TICK_030,-43.1098,-44.3027,70.3625,87.5047
31,K1,31,TICK_031,-42.3400,-43.8436,72.5440,89.8632
32,K1,32,TICK_032,-42.0271,-43.6430,75.8910,93.2308
33,K1,33,TICK_033,-41.6835,-43.4127,77.3241,94.7224
34,K1,34,TICK_034,-41.2633,-43.1083,73.9968,98.0899
35,K1,35,TICK_035,-40.3756,-42.5231,74.7969,99.4205
36,K1,36,TICK_036,-38.3650,-42.2146,77.4741,102.7828
37,K1,37,TICK_037,-37.5613,-41.8278,78.8319,104.4074
38,K1,38,TICK_038,-38.3897,-41.1357,79.2365,105.5602
39,K1,39,TICK_039,-37.7967,-40.6395,77.0958,107.8363
40,K1,40,TICK_040,-37.0415,-39.9955,78.1344,109.2730
41,K1,41,TICK_041,-36.5745,-39.5990,74.8231,112.6405
42,K1,42,TICK_042,-34.2700,-38.7315,74.4922,115.1251
43,K1,43,TICK_043,-34.7617,-37.9851,74.4307,116.0210
44,K1,44,TICK_044,-34.1085,-37.3550,74.1393,116.9741
45,K1,45,TICK_045,-33.7958,-37.0243,77.4760,120.3417
46,K1,46,TICK_046,-33.4424,-36.6406,74.6393,123.2259
47,K1,47,TICK_047,-33.2144,-36.3975,75.5749,124.2191
48,K1,48,TICK_048,-33.0596,-36.2368,78.9351,127.5867
49,K1,49,TICK_049,-32.9049,-36.0760,82.2952,130.9542
50,K1,50,TICK_050,-32.7145,-35.8646,82.1184,131.2892
51,K1,51,TICK_051,-32.4923,-35.6078,78.7680,134.6568
52,K1,52,TICK_052,-30.5500,-35.1537,77.8872,136.8373
53,K1,53,TICK_053,-30.7380,-34.7123,80.3902,139.3859
54,K1,54,TICK_054,-31.3424,-34.3003,80.5624,140.1373
55,K1,55,TICK_055,-31.0505,-33.9034,77.2318,143.5041
56,K1,56,TICK_056,-30.7981,-33.6018,73.8873,146.8717
57,K1,57,TICK_057,-30.5669,-33.3082,74.9778,148.0244
58,K1,58,TICK_058,-30.3465,-33.0187,78.3256,151.3920
59,K1,59,TICK_059,-28.1914,-32.3941,77.5878,153.7539
60,K1,60,TICK_060,-29.2716,-31.5362,74.9987,156.6877
61,K1,61,TICK_061,-28.3977,-31.2239,71.7648,160.0521
62,K1,62,TICK_062,-27.4296,-30.8856,68.5639,163.4132
63,K1,63,TICK_063,-26.6499,-30.4535,67.2135,165.0313
64,K1,64,TICK_064,-27.2535,-30.2807,70.5220,168.3989
65,K1,65,TICK_065,-27.8572,-30.1080,73.8306,171.7665
66,K1,66,TICK_066,-27.9880,-29.5985,74.7264,172.8053
67,K1,67,TICK_067,-26.5008,-29.1975,77.1263,175.6570
68,K1,68,TICK_068,-26.7776,-28.6556,79.4316,178.0412
69,K1,69,TICK_069,-27.0990,-28.0936,76.9723,180.5843
70,K1,70,TICK_070,-26.9206,-27.7773,79.0708,182.7140
71,K1,71,TICK_071,-26.7646,-27.5031,82.4236,186.0816
72,K1,72,TICK_072,-25.7987,-27.2909,79.2824,189.3748
73,K1,73,TICK_073,-24.8235,-27.0794,76.0661,192.7423
74,K1,74,TICK_074,-25.2399,-26.7777,76.7973,193.6363
75,K1,75,TICK_075,-26.1854,-26.4293,79.9562,196.9520
76,K1,76,TICK_076,-26.0388,-26.1078,83.3052,200.3195
77,K1,77,TICK_077,-25.6837,-25.3784,86.5521,203.6662
78,K1,78,TICK_078,-24.5670,-24.7857,85.0861,205.6021
79,K1,79,TICK_079,-23.3386,-24.4880,82.0016,208.9355
80,K1,80,TICK_080,-24.9769,-23.9761,79.5957,211.8909
81,K1,81,TICK_081,-23.2857,-23.5927,82.4824,215.2585
82,K1,82,TICK_082,-23.2140,-23.4041,80.6507,217.1013
83,K1,83,TICK_083,-23.6585,-23.2776,77.3150,220.4689
84,K1,84,TICK_084,-24.1030,-23.1512,73.9793,223.8365
85,K1,85,TICK_085,-24.5475,-23.0247,70.6435,227.2041
86,K1,86,TICK_086,-24.5121,-22.7012,72.6813,229.2676
87,K1,87,TICK_087,-24.3450,-22.2642,76.0154,232.6344
88,K1,88,TICK_088,-24.1905,-21.8563,79.3526,236.0000
89,K2,0,TICK_089,-24.0684,-21.5610,82.7050,239.3676
90,K2,1,TICK_090,-23.1602,-21.2918,80.8840,241.4202
91,K2,2,TICK_091,-22.0474,-21.0294,77.7165,244.7877
92,K2,3,TICK_092,-21.8083,-20.6587,74.3931,248.1403
93,K2,4,TICK_093,-23.4395,-20.0301,73.9367,249.9470
94,K2,5,TICK_094,-21.8124,-19.3989,73.5334,251.7382
95,K2,6,TICK_095,-22.9905,-19.0686,70.3960,255.1058
96,K2,7,TICK_096,-22.6119,-18.8510,72.3354,257.0937
97,K2,8,TICK_097,-21.8255,-18.6629,75.6044,260.4613
98,K2,9,TICK_098,-21.2977,-18.4571,78.0165,262.9390
99,K2,10,TICK_099,-22.4480,-18.1360,74.8677,266.3066
100,K2,11,TICK_100,-21.0541,-17.5194,73.5342,268.3317
101,K2,12,TICK_101,-21.8484,-17.2477,76.6965,271.6035
102,K2,13,TICK_102,-22.5787,-16.9698,79.7480,274.7534
103,K2,14,TICK_103,-21.2510,-16.3337,79.9669,276.2418
104,K2,15,TICK_104,-21.9782,-15.8822,81.2820,277.8109
105,K2,16,TICK_105,-20.4896,-15.4829,78.3805,281.0963
106,K2,17,TICK_106,-21.0625,-15.3263,75.0657,284.4639
107,K2,18,TICK_107,-21.6354,-15.1696,71.7510,287.8314
108,K2,19,TICK_108,-22.2083,-15.0130,68.4362,291.1990
109,K2,20,TICK_109,-21.3675,-14.7809,71.1109,294.0123
110,K2,21,TICK_110,-20.3990,-14.5420,74.3273,297.3799
111,K2,22,TICK_111,-22.0670,-13.9725,73.0072,299.5820
112,K2,23,TICK_112,-22.0108,-13.6379,69.6567,302.9496
113,K2,24,TICK_113,-21.9692,-13.3656,70.2515,303.6050
114,K2,25,TICK_114,-21.9380,-13.1371,73.6112,306.9726
115,K2,26,TICK_115,-21.4167,-12.8752,74.3821,307.9393
116,K2,27,TICK_116,-20.1608,-12.5634,71.2730,311.3069
117,K2,28,TICK_117,-21.6682,-11.9730,71.2764,312.9258
118,K2,29,TICK_118,-21.1792,-11.8506,74.6061,316.2933
119,K2,30,TICK_119,-20.6902,-11.7282,77.9357,319.6609
120,K2,31,TICK_120,-20.2012,-11.6058,81.2653,323.0285
121,K2,32,TICK_121,-19.7736,-11.4574,83.6916,325.4966
122,K2,33,TICK_122,-19.7389,-11.1424,80.3390,328.8642
123,K2,34,TICK_123,-21.3556,-10.5695,79.5661,330.7455
124,K2,35,TICK_124,-20.6920,-10.0487,82.5775,333.8728
125,K2,36,TICK_125,-21.1319,-9.7099,79.9152,336.5924
126,K2,37,TICK_126,-21.5014,-8.9665,78.2967,338.4114
127,K2,38,TICK_127,-21.3153,-8.5099,74.9654,341.7790
128,K2,39,TICK_128,-21.3501,-8.3634,78.1847,345.0018
129,K2,40,TICK_129,-21.3899,-8.2237,81.5491,348.3694
130,K2,41,TICK_130,-21.4296,-8.0840,84.9136,351.7369
131,K2,42,TICK_131,-20.9543,-7.8727,85.6965,352.6769
132,K2,43,TICK_132,-19.7021,-7.5535,82.5867,356.0445
133,K2,44,TICK_133,-20.9251,-7.1307,79.6848,359.2218
134,K2,45,TICK_134,-21.4386,-6.7597,81.2053,360.8689
135,K2,46,TICK_135,-21.4442,-6.4799,82.9593,362.6451
136,K2,47,TICK_136,-21.4399,-6.3954,79.5928,366.0127
137,K2,48,TICK_137,-21.4355,-6.3109,76.2263,369.3802
138,K2,49,TICK_138,-21.4311,-6.2263,72.8598,372.7478
139,K2,50,TICK_139,-21.4268,-6.1418,69.4932,376.1154
140,K2,51,TICK_140,-21.4224,-6.0573,66.1267,379.4829
141,K2,52,TICK_141,-21.4218,-5.9490,64.9311,380.6834
142,K2,53,TICK_142,-21.4292,-5.7911,68.2950,384.0510
143,K2,54,TICK_143,-21.4366,-5.6331,71.6588,387.4186
144,K2,55,TICK_144,-21.4419,-5.3378,74.9978,390.7706
145,K2,56,TICK_145,-21.4612,-4.8007,78.3035,394.1198
146,K2,57,TICK_146,-21.4928,-4.5042,81.6579,397.4873
147,K2,58,TICK_147,-21.4965,-4.3216,78.3897,400.7605
148,K2,59,TICK_148,-21.4999,-4.1407,75.0270,404.1281
149,K2,60,TICK_149,-20.7769,-3.8104,72.4132,406.8601
150,K2,61,TICK_150,-21.2427,-3.0826,73.7052,408.4145
151,K2,62,TICK_151,-21.6395,-2.3021,76.5195,411.3618
152,K2,63,TICK_152,-21.6574,-2.0267,79.8758,414.7294
153,K2,64,TICK_153,-21.6760,-1.8412,77.1641,417.4474
154,K2,65,TICK_154,-21.6947,-1.6653,73.8012,420.8150
155,K2,66,TICK_155,-21.6622,-1.4867,70.8376,423.7842
156,K2,67,TICK_156,-20.8327,-1.2661,74.0939,427.1518
157,K2,68,TICK_157,-20.0031,-1.0455,77.3502,430.5193
158,K2,69,TICK_158,-21.2574,-0.6432,75.7895,432.5616
159,K2,70,TICK_159,-21.8634,-0.2848,77.1773,434.1177
160,K2,71,TICK_160,-21.7407,0.0470,80.4817,437.4410
161,K2,72,TICK_161,-20.2319,0.5252,83.3406,440.7088
