index,tick_index,tick_name,world_x,world_y,world_z,row,arc_length
0,0,TICK_000,-64.9875,-52.0000,78.4369,4,0.0000
1,2,TICK_002,-61.1633,-51.5041,72.9150,4,6.7352
2,3,TICK_003,-64.1195,-51.3694,74.2934,4,9.9997
3,4,TICK_004,-67.1571,-51.2366,75.7411,4,13.3672
4,6,TICK_006,-71.8415,-50.9805,78.2441,4,18.6946
5,13,TICK_013,-59.3530,-50.2321,77.0928,4,39.8418
6,14,TICK_014,-62.6857,-50.0685,77.5471,1,43.2094
7,17,TICK_017,-57.3657,-49.0983,77.1299,1,50.6406
8,21,TICK_021,-50.4429,-47.5968,80.6775,4,62.4453
9,24,TICK_024,-47.4287,-46.4651,74.3401,1,69.8034
10,27,TICK_027,-45.2814,-45.3666,80.0193,1,77.4976
11,29,TICK_029,-44.2192,-44.8667,73.3969,1,84.2250
12,32,TICK_032,-42.0271,-43.6430,75.8910,2,93.2308
13,33,TICK_033,-41.6835,-43.4127,77.3241,4,94.7224
14,40,TICK_040,-37.0415,-39.9955,78.1344,4,109.2730
15,42,TICK_042,-34.2700,-38.7315,74.4922,4,115.1251
16,45,TICK_045,-33.7958,-37.0243,77.4760,3,120.3417
17,48,TICK_048,-33.0596,-36.2368,78.9351,4,127.5867
18,49,TICK_049,-32.9049,-36.0760,82.2952,1,130.9542
19,52,TICK_052,-30.5500,-35.1537,77.8872,4,136.8373
20,53,TICK_053,-30.7380,-34.7123,80.3902,4,139.3859
21,55,TICK_055,-31.0505,-33.9034,77.2318,3,143.5041
22,56,TICK_056,-30.7981,-33.6018,73.8873,1,146.8717
23,63,TICK_063,-26.6499,-30.4535,67.2135,4,165.0313
24,64,TICK_064,-27.2535,-30.2807,70.5220,4,168.3989
25,70,TICK_070,-26.9206,-27.7773,79.0708,2,182.7140
26,77,TICK_077,-25.6837,-25.3784,86.5521,2,203.6662
27,79,TICK_079,-23.3386,-24.4880,82.0016,2,208.9355
28,81,TICK_081,-23.2857,-23.5927,82.4824,4,215.2585
29,83,TICK_083,-23.6585,-23.2776,77.3150,4,220.4689
30,85,TICK_085,-24.5475,-23.0247,70.6435,3,227.2041
31,86,TICK_086,-24.5121,-22.7012,72.6813,4,229.2676
32,87,TICK_087,-24.3450,-22.2642,76.0154,3,232.6344
33,88,TICK_088,-24.1905,-21.8563,79.3526,4,236.0000
34,91,TICK_091,-22.0474,-21.0294,77.7165,4,244.7877
35,94,TICK_094,-21.8124,-19.3989,73.5334,1,251.7382
36,95,TICK_095,-22.9905,-19.0686,70.3960,3,255.1058
